EmployeeID,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsBeforeCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,DailyRateGroups,HourlyRateGroups,MonthlyIncomeGroups,MonthlyRateGroups,TotalWorkingYearsGroups,YearsAtCompanyGroups,AgeGroups,YearsBeforeCompanyGroups
1131,41,Yes,Travel_Rarely,1102,Sales,1,College,Life Sciences,1,1,2,Female,94,3,Junior,Sales Executive,4,Single,5993,19479,8,Y,Yes,11,3,1,80,0,8,0,1,6,2,4,0,5,K - 1100 => 1200,I - 90 => 100,E - 5000 => 6000,S - 19000 => 20000,D - 6 => 10 Years,D - 6 => 10 Years,E - 41 => 50 Years,B - 2 => 3 Years
1132,49,No,Travel_Frequently,279,Research & Development,8,Below College ,Life Sciences,1,2,3,Male,61,2,Junior,Research Scientist,2,Married,5130,24907,1,Y,No,23,4,4,80,1,10,3,3,10,0,7,1,7,B - 200 => 300,F - 60 => 70,E - 5000 => 6000,X - 24000 => 25000,D - 6 => 10 Years,D - 6 => 10 Years,E - 41 => 50 Years,B - 2 => 3 Years
1133,37,Yes,Travel_Rarely,1373,Research & Development,2,College,Other,1,4,4,Male,92,2,Entry Level,Laboratory Technician,3,Single,2090,2396,6,Y,Yes,15,3,2,80,0,7,3,3,0,7,0,0,0,M - 1300 => 1400,I - 90 => 100,B - 2000 => 3000,B - 2000 => 3000,D - 6 => 10 Years,A - 0 => 1 Year,D - 31 => 40 Years,B - 2 => 3 Years
1134,33,No,Travel_Frequently,1392,Research & Development,3,Master,Life Sciences,1,5,4,Female,56,3,Entry Level,Research Scientist,3,Married,2909,23159,1,Y,Yes,11,3,3,80,0,8,3,3,8,0,7,3,0,M - 1300 => 1400,E - 50 => 60,B - 2000 => 3000,W - 23000 => 24000,D - 6 => 10 Years,D - 6 => 10 Years,D - 31 => 40 Years,B - 2 => 3 Years
1135,27,No,Travel_Rarely,591,Research & Development,2,Below College ,Medical,1,7,1,Male,40,3,Entry Level,Laboratory Technician,2,Married,3468,16632,9,Y,No,12,3,4,80,1,6,3,3,2,4,2,2,2,E - 500 => 600,C - 30 => 40,C - 3000 => 4000,P - 16000 => 17000,D - 6 => 10 Years,B - 2 => 3 Years,C - 26 => 30 Years,B - 2 => 3 Years
1136,32,No,Travel_Frequently,1005,Research & Development,2,College,Life Sciences,1,8,4,Male,79,3,Entry Level,Laboratory Technician,4,Single,3068,11864,0,Y,No,13,3,3,80,0,8,2,2,7,1,7,3,6,J - 1000 => 1100,G - 70 => 80,C - 3000 => 4000,K - 11000 => 12000,D - 6 => 10 Years,D - 6 => 10 Years,D - 31 => 40 Years,B - 2 => 3 Years
1137,59,No,Travel_Rarely,1324,Research & Development,3,Bachelor,Medical,1,10,3,Female,81,4,Entry Level,Laboratory Technician,1,Married,2670,9964,4,Y,Yes,20,4,1,80,3,12,3,2,1,11,0,0,0,M - 1300 => 1400,H - 80 => 90,B - 2000 => 3000,I - 9000 => 10000,E - 11 => 15 Years,A - 0 => 1 Year,F - 51 => 60 Years,B - 2 => 3 Years
1138,30,No,Travel_Rarely,1358,Research & Development,24,Below College ,Life Sciences,1,11,4,Male,67,3,Entry Level,Laboratory Technician,3,Divorced,2693,13335,1,Y,No,22,4,2,80,1,1,2,3,1,0,0,0,0,M - 1300 => 1400,F - 60 => 70,B - 2000 => 3000,M - 13000 => 14000,A - 0 => 1 Year,A - 0 => 1 Year,C - 26 => 30 Years,B - 2 => 3 Years
1139,38,No,Travel_Frequently,216,Research & Development,23,Bachelor,Life Sciences,1,12,4,Male,44,2,Mid-Level,Manufacturing Director,3,Single,9526,8787,0,Y,No,21,4,2,80,0,10,2,3,9,1,7,1,8,B - 200 => 300,D - 40 => 50,I - 9000 => 10000,H - 8000 => 9000,D - 6 => 10 Years,D - 6 => 10 Years,D - 31 => 40 Years,B - 2 => 3 Years
1140,36,No,Travel_Rarely,1299,Research & Development,27,Bachelor,Medical,1,13,3,Male,94,3,Junior,Healthcare Representative,3,Married,5237,16577,6,Y,No,13,3,2,80,2,17,3,2,7,10,7,7,7,L - 1200 => 1300,I - 90 => 100,E - 5000 => 6000,P - 16000 => 17000,F - 16 => 20 Years,D - 6 => 10 Years,D - 31 => 40 Years,B - 2 => 3 Years
